kind,etag,id,snippet.channelId,snippet.title,snippet.assignable,param_part,param_regionCode,param_hl,param_maxResults,param_pageToken,queryTime
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",26,UCBR8-60-B28hp2BmDPdntcQ,DIY 和生活百科,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",27,UCBR8-60-B28hp2BmDPdntcQ,教育,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",28,UCBR8-60-B28hp2BmDPdntcQ,科学和技术,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",29,UCBR8-60-B28hp2BmDPdntcQ,公益与社会活动,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",30,UCBR8-60-B28hp2BmDPdntcQ,电影,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",31,UCBR8-60-B28hp2BmDPdntcQ,动漫/动画,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",32,UCBR8-60-B28hp2BmDPdntcQ,动作/冒险,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",33,UCBR8-60-B28hp2BmDPdntcQ,经典,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",34,UCBR8-60-B28hp2BmDPdntcQ,喜剧,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",35,UCBR8-60-B28hp2BmDPdntcQ,纪录片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",36,UCBR8-60-B28hp2BmDPdntcQ,剧情片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",37,UCBR8-60-B28hp2BmDPdntcQ,家庭片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",38,UCBR8-60-B28hp2BmDPdntcQ,外国,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",39,UCBR8-60-B28hp2BmDPdntcQ,恐怖片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",40,UCBR8-60-B28hp2BmDPdntcQ,科幻/幻想,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",41,UCBR8-60-B28hp2BmDPdntcQ,惊悚片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",42,UCBR8-60-B28hp2BmDPdntcQ,短片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",43,UCBR8-60-B28hp2BmDPdntcQ,节目,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",44,UCBR8-60-B28hp2BmDPdntcQ,预告片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
